Frame,Index,Lane,Abs,Phase,I,Q
6002,69,0,5908,237082068,-767,-1035
6002,69,1,5909,237941061,-5411,-1773
6002,69,2,5910,238800054,-4015,-3002
6002,69,3,5911,239659047,-870,-3753
6002,70,0,5912,240518040,-7411,-474
6002,70,1,5913,241377033,-1921,2101
6002,70,2,5914,242236026,-638,-317
6002,70,3,5915,243095019,-3705,-995
6002,71,0,5916,243954012,5392,4225
6002,71,1,5917,244813005,-3494,4315
6002,71,2,5918,245671998,-9991,310
6002,71,3,5919,246530991,218,-4526
6002,72,0,5920,247389984,406,-5693
6002,72,1,5921,248248977,-890,838
6002,72,2,5922,249107970,-199,-659
6002,72,3,5923,249966963,2135,-2989
6002,73,0,5924,250825956,-916,-990
6002,73,1,5925,251684949,-6175,-2932
6002,73,2,5926,252543942,4294,1058
6002,73,3,5927,253402935,7427,1026
6002,74,0,5928,254261928,-1024,-2249
6002,74,1,5929,255120921,-5175,-2401
6002,74,2,5930,255979914,-3957,-5915
6002,74,3,5931,256838907,2219,-1041
6002,75,0,5932,257697900,-300,-2191
6002,75,1,5933,258556893,-3442,-7477
6002,75,2,5934,259415886,-2552,832
6002,75,3,5935,260274879,-2197,1658
6002,76,0,5936,261133872,4134,753
6002,76,1,5937,261992865,1485,1157
6002,76,2,5938,262851858,-2357,-2315
6002,76,3,5939,263710851,1255,2553
6002,77,0,5940,264569844,1473,1186
6002,77,1,5941,265428837,3685,635
6002,77,2,5942,266287830,421,6409
6002,77,3,5943,267146823,-3202,977
6002,78,0,5944,268005816,-593,-1697
6002,78,1,5945,268864809,740,-1539
6002,78,2,5946,269723802,3256,-6111
6002,78,3,5947,270582795,-398,-3412
6002,79,0,5948,271441788,-4287,4227
6002,79,1,5949,272300781,-8110,5720
6002,79,2,5950,273159774,-9700,4003
6002,79,3,5951,274018767,1286,6067
6002,80,0,5952,274877760,-885,12
6002,80,1,5953,275736753,-4354,-5001
6002,80,2,5954,276595746,2499,4679
6002,80,3,5955,277454739,-2030,5608
6002,81,0,5956,278313732,469,-588
6002,81,1,5957,279172725,2068,-2912
6002,81,2,5958,280031718,-4005,-2237
6002,81,3,5959,280890711,-950,2023
6002,82,0,5960,281749704,-2566,-2871
6002,82,1,5961,282608697,-414,-4208
6002,82,2,5962,283467690,5290,349
6002,82,3,5963,284326683,4316,-440
6002,83,0,5964,285185676,7477,4438
6002,83,1,5965,286044669,6365,-623
6002,83,2,5966,286903662,1387,-7382
6002,83,3,5967,287762655,-2016,1094
6002,84,0,5968,288621648,-1328,725
6002,84,1,5969,289480641,3719,249
6002,84,2,5970,290339634,1187,4400
6002,84,3,5971,291198627,-187,159
6002,85,0,5972,292057620,-1401,-1561
6002,85,1,5973,292916613,-1729,-2953
6002,85,2,5974,293775606,5753,-6140
6002,85,3,5975,294634599,-1078,-3444
6002,86,0,5976,295493592,-5182,2007
6002,86,1,5977,296352585,4621,-1064
6002,86,2,5978,297211578,3562,-7617
6002,86,3,5979,298070571,7751,-1085
6002,87,0,5980,298929564,8461,1415
6002,87,1,5981,299788557,-4479,-3929
6002,87,2,5982,300647550,2088,194
6002,87,3,5983,301506543,6946,1630
6002,88,0,5984,302365536,-3327,1347
6002,88,1,5985,303224529,2171,2844
6002,88,2,5986,304083522,6555,-727
6002,88,3,5987,304942515,-1153,55
6002,89,0,5988,305801508,-4220,3708
6002,89,1,5989,306660501,-5338,5131
6002,89,2,5990,307519494,-916,827
6002,89,3,5991,308378487,2949,-4445
6002,90,0,5992,309237480,-903,2469
6002,90,1,5993,310096473,274,6408
6002,90,2,5994,310955466,678,2923
6002,90,3,5995,311814459,-1956,1384
6002,91,0,5996,312673452,1560,-3225
6002,91,1,5997,313532445,4937,-125
6002,91,2,5998,314391438,-941,4697
6002,91,3,5999,315250431,-8752,-1948
6002,92,0,6000,316109424,-2245,-4062
6002,92,1,6001,316968417,2361,-2620
6002,92,2,6002,317827410,-1742,947
6002,92,3,6003,318686403,2057,7003
6002,93,0,6004,319545396,87,-1624
6002,93,1,6005,320404389,-528,-7166
6002,93,2,6006,321263382,3222,466
6002,93,3,6007,322122375,-1760,253
6002,94,0,6008,322981368,2885,4184
6002,94,1,6009,323840361,4014,8973
6002,94,2,6010,324699354,-1733,-2832
6002,94,3,6011,325558347,-2967,-5718
6002,95,0,6012,326417340,-8415,4722
6002,95,1,6013,327276333,-1306,6382
6002,95,2,6014,328135326,-3449,1946
6002,95,3,6015,328994319,-13226,191
6002,96,0,6016,329853312,2964,2489
6002,96,1,6017,330712305,6972,3370
6002,96,2,6018,331571298,1921,-565
6002,96,3,6019,332430291,4395,-1345
6002,97,0,6020,333289284,413,4433
6002,97,1,6021,334148277,1500,3942
6002,97,2,6022,335007270,-5549,-6163
6002,97,3,6023,335866263,-6429,-4392
6002,98,0,6024,336725256,1010,3108
6002,98,1,6025,337584249,-8003,731
6002,98,2,6026,338443242,-2401,4812
6002,98,3,6027,339302235,2657,3549
6002,99,0,6028,340161228,-6464,-6259
6002,99,1,6029,341020221,-2817,1021
6002,99,2,6030,341879214,-2108,5218
6002,99,3,6031,342738207,-1639,-343
6002,100,0,6032,343597200,-968,2185
6002,100,1,6033,344456193,-3840,2493
6002,100,2,6034,345315186,-333,2260
6002,100,3,6035,346174179,-5206,5765
6002,101,0,6036,347033172,-4841,6525
6002,101,1,6037,347892165,2235,683
6002,101,2,6038,348751158,-2487,-7827
6002,101,3,6039,349610151,-4193,-1707
6002,102,0,6040,350469144,-4367,5653
6002,102,1,6041,351328137,-2619,839
6002,102,2,6042,352187130,2994,61
6002,102,3,6043,353046123,-437,-3404
6002,103,0,6044,353905116,-1430,-5311
6002,103,1,6045,354764109,1756,2982
6002,103,2,6046,355623102,-1199,3387
6002,103,3,6047,356482095,-756,1509
6002,104,0,6048,357341088,3107,298
6002,104,1,6049,358200081,627,-4694
6002,104,2,6050,359059074,-2567,-2263
6002,104,3,6051,359918067,-3992,-723
6002,105,0,6052,360777060,-4150,-1254
6002,105,1,6053,361636053,2125,159
6002,105,2,6054,362495046,5170,-3490
6002,105,3,6055,363354039,3323,-1388
6002,106,0,6056,364213032,-3259,2535
6002,106,1,6057,365072025,-10874,352
6002,106,2,6058,365931018,-123,1796
6002,106,3,6059,366790011,801,1240
6002,107,0,6060,367649004,-9008,-1361
6002,107,1,6061,368507997,2928,229
6002,107,2,6062,369366990,3454,1317
6002,107,3,6063,370225983,-1603,-2548
