GROUP,SLACK,REQUIREMENT,STARTPOINT_PIN,ENDPOINT_PIN,DATAPATH_DELAY,LOGIC_LEVELS
"clk500","-0.085","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[10]/CE","1.982","3"
"clk500","-0.085","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[14]/CE","1.982","3"
"clk500","-0.085","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[19]/CE","1.982","3"
"clk500","-0.085","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[23]/CE","1.982","3"
"clk500","-0.084","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/ADDRARDADDR[8]","1.777","3"
"clk500","-0.084","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[0]","1.769","3"
"clk500","-0.084","2.000","cfo/observation_front/fft_core/next_output_reg[2]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/ADDRBWRADDR[12]","1.769","4"
"clk500","-0.083","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[0]/CE","1.980","3"
"clk500","-0.083","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[12]/CE","1.980","3"
"clk500","-0.083","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[18]/CE","1.980","3"
"clk500","-0.083","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[22]/CE","1.980","3"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/ADDRARDADDR[6]","1.772","3"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[21]/CE","1.978","3"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[4]/CE","1.978","3"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[6]/CE","1.978","3"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[3]/CE","1.979","3"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[5]/CE","1.979","3"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[9]/CE","1.979","3"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[115]/CE","1.977","4"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[121]/CE","1.977","4"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[53]/CE","1.977","4"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[70]/CE","1.977","4"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[89]/CE","1.977","4"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[90]/CE","1.977","4"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[93]/CE","1.977","4"
"clk500","-0.079","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[111]/CE","1.976","4"
"clk500","-0.079","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[120]/CE","1.976","4"
"clk500","-0.079","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[127]/CE","1.976","4"
"clk500","-0.079","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[134]/CE","1.976","4"
"clk500","-0.079","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[65]/CE","1.976","4"
"clk500","-0.079","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[72]/CE","1.976","4"
"clk500","-0.079","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[98]/CE","1.976","4"
