4294574077,4294770689,4294836234,4294705161
4294639612,327678,4294311940,4294508538
4294836234,524287,262153,131078
4294574089,655353,196613,4294705146
4294770689,720894,589820,4294901756
4294770693,589816,589825,4294574077
131080,9,4294705159,4294508548
4294639606,458758,4294639612,196610
4294377463,393224,4294836228,262146
4294377474,262150,65540,4294443016
65544,327686,65533,131066
4294377476,589816,4294705160,4294377464
4294574078,4294377479,196616,4294639610
393210,196604,131067,4294508552
589817,589827,4294770694,4294836226
524284,4294639625,589830,4294967294
4294639623,458742,655363,655361
4294836228,4294377464,4294705144,655366
4294311942,4294770683,131074,4294377466
4294705162,327671,4294639617,4294705144
65544,458748,65531,262139
4294770688,589822,589833,4294705160
4294639606,4294639618,262136,458751
655359,4294639612,4294639606,131067
589819,65536,262137,458747
589832,589818,4294639620,458757
131080,4294639615,4294967293,589832
4294705155,4294443000,131074,4294574073
4294443009,393220,4294770680,458760
196614,4294901766,4294443014,524298
458753,4294508547,4294639620,393208
4294705161,262145,4294443015,4294967291
655365,4294639621,131081,4294770692
4294574084,4294639626,720889,262146
4294639622,524291,589814,4294836216
4294901757,4294639618,196614,720890
4294705162,4294377464,655354,4294901759
458758,4294705162,327690,4294705153
262138,327681,4294508551,4294705147
458747,4294574088,393218,4294574084
393218,196616,4294508544,720889
4294770692,589815,131081,65540
4294770679,4294836232,262139,4294836234
4294508546,4294508548,393213,4294967293
4294574090,393216,65532,4294639623
393223,5,393212,4294770690
589832,196603,720888,589819
4294901753,4294770696,4294443009,131073
262134,4294311938,327676,4294836231
4294639610,4294770689,4294705160,524291
4294639623,655365,589830,196606
196599,4294377468,4294836215,393220
458760,4294311936,4294770686,4294836230
65529,4294705153,8,4294377472
131067,589826,393215,4294443014
4294574088,524292,196613,4294836225
4294770679,393222,131072,4294770691
4294442999,4294901753,262150,4294639617
4294901768,65541,4294377469,131075
393221,4294311944,458751,393206
720887,4294639615,4294705147,4294705146
4294574070,4294508534,4294443014,4294443013
4294770685,4294639618,4294901753,393220
4294770683,655362,4294705147,524291
655363,196599,196604,4294443010
131072,4294639611,4294508544,4294443018
65536,458753,4294705161,4294443002
4294639623,458743,262144,4294508536
720892,4294967293,4294705155,4294377471
4294770691,589818,589821,655357
4294377462,589820,262153,4294705161
4294639618,131082,4294639612,327680
393214,4294508542,4294574071,4294770686
4294705148,458751,4294836229,131075
327689,4,4294770695,589819
4294443002,131074,65540,4294574070
393206,65527,4294705145,262143
196616,4294901763,4294377477,4294377464
5,4294967287,4294377479,4294639617
589822,65532,4294901754,131066
393206,196603,65532,4294770694
4294639618,327673,4294705143,524279
4294508535,4294901758,4294574072,458746
589826,524280,655352,4294901762
4294377481,7,4294508549,655365
131062,4294705144,65542,196612
327682,65536,4294705144,4294377467
65535,4294311940,4294901758,327688
4294377463,4294574071,589816,262151
4294639624,655352,4294967288,4294967289
4294639615,196612,4294311943,4294574075
655367,589821,4294574074,4294770697
4294443010,4294508549,65534,4294770694
589818,589829,7,4294443007
262144,4294836216,196598,4294836226
4294377471,65542,65533,131062
4294639608,393221,262150,4294311938
4294377476,4294443010,327681,262144
393224,4294574083,4294443011,4294377474
131065,131079,131062,196605
4294901768,196618,655355,4294770692
4294443004,458760,4294967287,4294705156
655360,720893,4294508554,4294443005
131071,65543,458750,458745
65538,4294901756,655355,4294377480
196609,524292,4294311938,524292
458751,4294574081,458742,4294770696
524286,4294639609,65540,655352
4,196605,4294901768,655361
4294770698,655360,458750,4294443007
4294443000,4294705150,65538,4294770692
4294508549,720893,458742,458752
196617,4294770688,4294705147,524291
262140,262152,393215,4294705155
393216,4294443003,4294705143,131082
4294443018,65542,196618,4294836216
655368,4294967289,9,4294311940
4294508548,4294508548,131078,196599
589820,4294311946,4294377472,4294377472
4294770694,524285,327675,4294770695
4294508544,196611,3,4294639608
262149,4294901755,65537,458751
589831,4294311945,4294311941,4294377470
4294705152,4294377464,458748,4294311943
458754,4294508534,4294705151,262140
393219,4294574078,4294836219,4294967290
10,4294901760,458759,4294836224
4294967290,655358,4294574072,4294443003
4294574088,4294574087,589830,4294311940
4294639620,131078,4294639619,4294442998
524288,4294508542,4294508541,4294901770
4,4294836228,4294443010,655358
4294443017,131074,4294443013,4294705162
4294639607,589817,4294377482,4294770681
4294377470,65539,4294443003,327677
4294574075,4294442998,655366,720893
4294901751,4294901763,655364,393217
65536,4294311940,4294901758,131077
393214,6,2,458757
589817,4294377469,4294770682,458760
4294377469,4294901763,4294508545,65534
720888,4294443006,4294770684,65527
589817,262141,4294311939,262149
4294574079,393221,4294705161,393217
131082,4294836230,589822,458761
4294901757,65542,6,524295
4294377468,4294574090,4294377463,589830
327672,65528,4294901752,4294901763
393222,4294508545,4294508537,327688
4294705159,589827,524286,262154
4294901763,4294443010,524278,4294967295
4294508542,4294639614,4294377465,589826
0,4294770696,4294770696,4294508552
4294770696,4294639619,524283,4294967287
65528,4294705158,589827,655370
327680,720894,524281,4294377463
4294377476,131068,4294705156,196608
4294836222,327676,4294967289,65540
4294508539,720892,4294836225,655352
524293,524282,131079,4294508540
196600,196600,196611,327671
524285,4294770697,4294639607,524281
4294574089,4294967288,4294705150,4294377479
524279,458752,589826,4294508535
655363,589828,4294508535,4294639614
4294574076,393224,196600,196614
327683,4294377482,589817,393226
589827,131077,655357,65532
262134,131074,196618,589826
4294377470,327671,655358,524289
196605,4294574083,4294770695,458753
65532,4294901751,4294770688,524288
4294639613,589820,4294770687,4294705162
4294574074,655360,327684,4294508539
589825,458760,589821,4294574086
4294705162,4294639622,131070,4294901768
196612,4294705157,720891,131066
4294639615,589819,4294574072,4294836222
4294443006,4294639621,196614,4294574073
4294770689,655352,393213,4294901753
196607,458754,4294639611,4294311942
327674,131080,4294639624,65540
4294508552,4294508542,4294967286,655369
131073,65532,131076,393216
65532,327677,4,524292
4294836219,196603,327681,131071
4294443000,720890,196616,393206
327682,196618,655351,4294377466
393208,4294967294,4294311943,65541
4294443017,4294705155,196607,4294377466
524282,524292,65541,4294705147
