"GROUP","SLACK","REQUIREMENT","STARTPOINT_PIN","ENDPOINT_PIN","STARTPOINT_CLOCK","ENDPOINT_CLOCK","DATAPATH_DELAY","LOGIC_LEVELS","SKEW","UNCERTAINTY"
"clk500","-0.605","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[10]/CE","clk500","clk500","2.500","6","-0.010","0.035"
"clk500","-0.602","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[11]","clk500","clk500","2.311","8","0.010","0.035"
"clk150","-0.602","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_EN_B","clk150","clk150","6.980","13","0.035","0.035"
"clk500","-0.601","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[30]","clk500","clk500","2.263","8","0.010","0.035"
"clk150","-0.600","6.667","sfo/two_pass_transport/second_resampling/engine/core/stream/lane_phase_reg[0][3]/C","sfo/two_pass_transport/second_resampling/engine/phase_counter_reg[3]/R","clk150","clk150","7.151","20","-0.007","0.035"
"clk150","-0.600","6.667","sfo/two_pass_transport/second_resampling/engine/core/stream/lane_phase_reg[0][3]/C","sfo/two_pass_transport/second_resampling/engine/phase_counter_reg[5]/R","clk150","clk150","7.151","20","-0.007","0.035"
"clk500","-0.599","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[18]/CE","clk500","clk500","2.494","6","-0.010","0.035"
"clk500","-0.599","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[21]/CE","clk500","clk500","2.494","6","-0.010","0.035"
"clk150","-0.599","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_BWE_B[1]","clk150","clk150","6.960","13","0.035","0.035"
"clk150","-0.597","6.667","sfo/two_pass_transport/second_resampling/engine/core/stream/lane_phase_reg[0][3]/C","sfo/two_pass_transport/second_resampling/engine/phase_counter_reg[1]/R","clk150","clk150","7.148","20","-0.007","0.035"
"clk150","-0.597","6.667","sfo/two_pass_transport/second_resampling/engine/core/stream/lane_phase_reg[0][3]/C","sfo/two_pass_transport/second_resampling/engine/phase_counter_reg[2]/R","clk150","clk150","7.148","20","-0.007","0.035"
"clk500","-0.596","2.000","cfo/windows/fast_fault_reg/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[18]","clk500","clk500","2.323","4","0.010","0.035"
"clk500","-0.595","2.000","cfo/observation_front/fft_core/input_index_reg[8]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/ADDRARDADDR[7]","clk500","clk500","2.302","5","0.009","0.035"
"clk500","-0.595","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_q_reg[8]/CE","clk500","clk500","2.490","6","-0.009","0.035"
