group,endpoints,tns_ns,wns_ns
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[0].u_real/pre_ca/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,16,-3.934,-0.332
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[23].u_real/pre_ca/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,14,-3.856,-0.368
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_120/CAS_IN_BWE_B[],9,-3.813,-0.519
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/tw_index_reg[]/CE,10,-3.778,-0.407
clk500:cfo/observation_front/fft_core/sub_i6_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[],6,-3.694,-0.701
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_bit_reverse.pe_natural_out_reg[]/R,27,-3.507,-0.213
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/v_reg[]/CE,7,-3.452,-0.548
clk500:cfo/observation_front/fft_core/sub_q6_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[],7,-3.324,-0.529
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_1/ADDRBWRADDR[],10,-3.284,-0.399
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]/C -> cfo/observation_front/fft_core/pi5_reg[]/CE,20,-3.132,-0.25
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_161/CAS_IN_BWE_B[],9,-3.122,-0.416
