"GROUP","SLACK","REQUIREMENT","STARTPOINT_PIN","ENDPOINT_PIN","STARTPOINT_CLOCK","ENDPOINT_CLOCK","DATAPATH_DELAY","LOGIC_LEVELS","SKEW","UNCERTAINTY"
"clk500","-0.115","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[10]","clk500","clk500","1.843","3","0.011","0.035"
"clk500","-0.115","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[13]","clk500","clk500","1.847","3","0.011","0.035"
"clk500","-0.115","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/rr3_reg_i_1_psdsp_1/D","clk500","clk500","2.049","2","-0.056","0.035"
"clk500","-0.110","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst/count_value_i_reg[1]/CE","clk500","clk500","2.007","4","-0.008","0.035"
"clk500","-0.110","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst/count_value_i_reg[2]/CE","clk500","clk500","2.008","4","-0.008","0.035"
"clk500","-0.110","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[1]/CE","clk500","clk500","2.008","4","-0.008","0.035"
"clk500","-0.110","2.000","cfo/observation_front/fft_core/next_output_reg[2]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/ENBWREN","clk500","clk500","1.743","4","0.010","0.035"
"clk500","-0.109","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[11]/CE","clk500","clk500","2.006","4","-0.007","0.035"
"clk500","-0.109","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[14]/CE","clk500","clk500","2.006","4","-0.007","0.035"
"clk500","-0.109","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[15]/CE","clk500","clk500","2.006","4","-0.007","0.035"
"clk500","-0.109","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[33]/CE","clk500","clk500","2.006","4","-0.007","0.035"
"clk500","-0.109","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[45]/CE","clk500","clk500","2.006","4","-0.007","0.035"
"clk500","-0.109","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[6]/CE","clk500","clk500","2.006","4","-0.007","0.035"
"clk500","-0.109","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[9]/CE","clk500","clk500","2.006","4","-0.007","0.035"
"clk500","-0.109","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_5/ENBWREN","clk500","clk500","1.744","3","0.012","0.035"
"clk500","-0.107","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[15]","clk500","clk500","1.826","3","0.011","0.035"
"clk500","-0.104","2.000","cfo/observation_front/fft_core/offset_in_group_reg[0]/C","cfo/observation_front/fft_core/tw_index_reg_rep/ADDRARDADDR[14]","clk500","clk500","1.792","4","0.010","0.035"
"clk500","-0.103","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/ADDRARDADDR[11]","clk500","clk500","1.785","3","0.011","0.035"
"clk500","-0.099","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/ADDRARDADDR[13]","clk500","clk500","1.807","3","0.011","0.035"
"clk500","-0.099","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[3]/CE","clk500","clk500","1.996","4","-0.007","0.035"
"clk500","-0.099","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINPADINP[0]","clk500","clk500","1.847","3","0.011","0.035"
"clk500","-0.099","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/rr3_reg_i_2_psdsp_1/D","clk500","clk500","2.033","2","-0.056","0.035"
"clk500","-0.098","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[4]/CE","clk500","clk500","1.996","4","-0.007","0.035"
"clk500","-0.098","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/rr3_reg_i_2_psdsp/D","clk500","clk500","2.032","2","-0.056","0.035"
"clk500","-0.097","2.000","cfo/observation_front/fft_core/input_index_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/ADDRARDADDR[10]","clk500","clk500","1.795","4","0.009","0.035"
"clk500","-0.097","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_saturations_reg[2]/CE","clk500","clk500","1.995","3","-0.008","0.035"
"clk500","-0.094","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_saturations_reg[10]/CE","clk500","clk500","1.991","3","-0.008","0.035"
"clk500","-0.093","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/ADDRARDADDR[6]","clk500","clk500","1.784","3","0.011","0.035"
"clk500","-0.092","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_saturations_reg[11]/CE","clk500","clk500","1.989","3","-0.008","0.035"
"clk500","-0.092","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_saturations_reg[12]/CE","clk500","clk500","1.989","3","-0.008","0.035"
"clk500","-0.092","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_saturations_reg[14]/CE","clk500","clk500","1.989","3","-0.008","0.035"
"clk500","-0.092","2.000","cfo/observation_front/fft_core/offset_in_group_reg[0]/C","cfo/observation_front/fft_core/tw_index_reg_rep/ADDRARDADDR[11]","clk500","clk500","1.773","4","0.010","0.035"
"clk500","-0.092","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/rr3_reg_i_4_psdsp_1/D","clk500","clk500","2.027","2","-0.055","0.035"
"clk500","-0.090","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[128]/CE","clk500","clk500","1.987","4","-0.007","0.035"
"clk500","-0.090","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[75]/CE","clk500","clk500","1.987","4","-0.007","0.035"
"clk500","-0.090","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[91]/CE","clk500","clk500","1.987","4","-0.007","0.035"
"clk500","-0.089","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[123]/CE","clk500","clk500","1.986","4","-0.007","0.035"
"clk500","-0.089","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[130]/CE","clk500","clk500","1.986","4","-0.007","0.035"
"clk500","-0.089","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[87]/CE","clk500","clk500","1.986","4","-0.007","0.035"
"clk500","-0.089","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[97]/CE","clk500","clk500","1.986","4","-0.007","0.035"
"clk500","-0.088","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[10]/CE","clk500","clk500","1.983","6","-0.010","0.035"
"clk500","-0.088","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[1]/CE","clk500","clk500","1.983","6","-0.010","0.035"
"clk500","-0.086","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/ADDRARDADDR[5]","clk500","clk500","1.779","3","0.013","0.035"
"clk500","-0.086","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[0]/CE","clk500","clk500","1.981","6","-0.010","0.035"
"clk500","-0.085","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[16]","clk500","clk500","1.800","3","0.011","0.035"
"clk500","-0.085","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[10]/CE","clk500","clk500","1.982","3","-0.008","0.035"
"clk500","-0.085","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[14]/CE","clk500","clk500","1.982","3","-0.008","0.035"
"clk500","-0.085","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[19]/CE","clk500","clk500","1.982","3","-0.008","0.035"
